FISC_PERIOD,FISC_YEAR,REGION,OFFICE,TOWN,TTL_CPS_ACEPT_M,TTL_CPS_SUBS_M,TTL_ALLEGAT_M,TTL_ALLEGAT_SUBS_M,TTL_PHYS_ABUSE_M,TTL_EDUC_NEGLECT_M,TTL_EMOT_NEGLECT_M,TTL_HIGH_RISK_M,TTL_MEDI_NEGLECT_M,TTL_AT_RISK_M,TTL_PHYS_NEGLECT_M,TTL_SEX_ABUSE_M,SUBS_PHYS_ABUSE_M,SUBS_EDUC_NEGLECT_M,SUBS_EMOT_NEGLECT_M,SUBS_HIGH_RISK_M,SUBS_MEDI_NEGLECT_M,SUBS_AT_RISK_M,SUBS_PHYS_NEGLECT_M,SUBS_SEX_ABUSE_M,CHILDREN_SUBS,RATE_PHYS_ABUSE_M,RATE_EDUC_NEGLECT_M,RATE_EMOT_NEGLECT_M,RATE_HIGH_RISK_M,RATE_MEDI_NEGLECT_M,RATE_AT_RISK_M,RATE_PHYS_NEGLECT_M,RATE_SEX_ABUSE_M
07/01/2010 - 06/30/2011,2011,REGION 2,MILFORD,HAMDEN,347,66,810,153,123,18,131,-,17,-,460,38,<= 10,<= 10,41,-,<= 10,-,84,<= 10,95,0 - 10 %,40 - 50 %,31%,-,20 - 30 %,-,18%,10 - 20 %
07/01/2011 - 06/30/2012,2012,REGION 6,NEW BRITAIN,NEW BRITAIN,1166,232,3125,598,344,112,499,-,62,-,1910,107,25,54,113,-,13,-,358,24,361,7%,48%,23%,-,21%,-,19%,22%
07/01/2013 - 06/30/2014,2014,REGION 1,NORWALK,NORWALK,618,78,1378,168,145,47,297,-,53,-,761,28,<= 10,<= 10,39,-,<= 10,-,97,<= 10,108,0 - 10 %,0 - 10 %,13%,-,10 - 20 %,-,13%,10 - 20 %
07/01/2013 - 06/30/2014,2014,REGION 4,MANCHESTER,MANCHESTER,671,72,1795,279,190,69,311,-,44,-,1064,62,13,16,19,-,<= 10,-,194,23,107,7%,23%,6%,-,10 - 20 %,-,18%,37%
07/01/2013 - 06/30/2014,2014,REGION 3,NORWICH,LEBANON,29,<= 10,134,40,12,<= 10,39,-,<= 10,-,66,<= 10,-,<= 10,15,-,-,-,20,<= 10,13,-,40 - 50 %,38%,-,0 - 10 %,-,30%,30 - 40 %
07/01/2013 - 06/30/2014,2014,REGION 3,NORWICH,GRISWOLD,150,34,623,207,21,21,134,-,<= 10,-,390,22,<= 10,<= 10,38,-,<= 10,-,135,<= 10,60,30 - 40 %,70 - 80 %,56%,-,50 - 60 %,-,70%,50 - 60 %
07/01/2013 - 06/30/2014,2014,REGION 2,MILFORD,DERBY,148,34,436,75,29,19,89,-,<= 10,-,265,12,<= 10,14,<= 10,-,<= 10,-,45,<= 10,46,0 - 10 %,74%,0 - 10 %,-,20 - 30 %,-,17%,30 - 40 %
07/01/2013 - 06/30/2014,2014,REGION 2,MILFORD,NORTH HAVEN,90,15,239,34,38,<= 10,44,-,<= 10,-,128,<= 10,<= 10,<= 10,12,-,-,-,12,<= 10,18,0 - 10 %,30 - 40 %,27%,-,0 - 10 %,-,9%,80 - 90 %
07/01/2013 - 06/30/2014,2014,REGION 3,WILLIMANTIC,COVENTRY,90,17,213,53,16,<= 10,61,-,<= 10,-,121,<= 10,<= 10,-,22,-,<= 10,-,26,<= 10,17,0 - 10 %,0 - 10 %,36%,-,90 - 100 %,-,21%,20 - 30 %
07/01/2013 - 06/30/2014,2014,REGION 6,NEW BRITAIN,PLAINVILLE,102,13,258,23,34,<= 10,48,-,<= 10,-,159,<= 10,-,-,<= 10,-,-,-,14,<= 10,17,-,0 - 10 %,10 - 20 %,-,0 - 10 %,-,9%,40 - 50 %
07/01/2013 - 06/30/2014,2014,REGION 5,WATERBURY,WATERBURY,1747,241,4760,862,516,168,894,-,109,-,2800,130,32,51,172,-,13,-,537,40,354,6%,30%,19%,-,12%,-,19%,31%
07/01/2010 - 06/30/2011,2011,REGION 2,MILFORD,EAST HAVEN,260,55,666,105,69,14,145,-,22,-,392,<= 10,<= 10,<= 10,17,-,<= 10,-,73,-,69,0 - 10 %,60 - 70 %,12%,-,0 - 10 %,-,19%,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 6,MERIDEN,MERIDEN,843,165,2349,483,248,94,439,-,61,-,1375,66,19,54,97,-,24,-,265,17,247,8%,57%,22%,-,39%,-,19%,26%
07/01/2014 - 06/30/2015,2015,REGION 6,NEW BRITAIN,NEW BRITAIN,1166,155,2754,344,308,125,413,-,60,-,1694,65,21,20,64,-,<= 10,-,211,<= 10,223,7%,16%,15%,-,10 - 20 %,-,12%,10 - 20 %
07/01/2014 - 06/30/2015,2015,REGION 2,MILFORD,WEST HAVEN,531,85,1273,196,117,61,253,-,19,-,763,28,<= 10,12,43,-,<= 10,-,123,<= 10,118,0 - 10 %,20%,17%,-,30 - 40 %,-,16%,10 - 20 %
07/01/2014 - 06/30/2015,2015,REGION 5,DANBURY,RIDGEFIELD,45,11,92,20,14,<= 10,24,-,-,-,37,<= 10,-,<= 10,<= 10,-,-,-,13,-,12,-,30 - 40 %,10 - 20 %,-,-,-,35%,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 5,WATERBURY,CHESHIRE,82,<= 10,260,64,29,-,60,-,-,-,147,<= 10,<= 10,-,20,-,-,-,40,-,16,10 - 20 %,-,33%,-,-,-,27%,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 6,NEW BRITAIN,BRISTOL,660,102,1668,260,159,66,336,-,18,-,1002,26,17,<= 10,61,-,-,-,156,<= 10,139,11%,10 - 20 %,18%,-,-,-,16%,30 - 40 %
07/01/2014 - 06/30/2015,2015,REGION 1,BRIDGEPORT,BRIDGEPORT,2022,340,4549,845,594,295,636,-,153,-,2606,134,47,41,112,-,36,-,543,41,531,8%,14%,18%,-,24%,-,21%,31%
07/01/2014 - 06/30/2015,2015,REGION 1,NORWALK,WESTPORT,83,11,193,23,22,<= 10,51,-,<= 10,-,96,<= 10,-,-,<= 10,-,<= 10,-,11,<= 10,16,-,0 - 10 %,10 - 20 %,-,40 - 50 %,-,11%,10 - 20 %
07/01/2014 - 06/30/2015,2015,REGION 3,MIDDLETOWN,MADISON,59,<= 10,133,20,19,<= 10,28,-,-,-,74,<= 10,<= 10,-,<= 10,-,-,-,12,<= 10,11,10 - 20 %,0 - 10 %,10 - 20 %,-,-,-,16%,40 - 50 %
07/01/2010 - 06/30/2011,2011,REGION 3,NORWICH,COLCHESTER,113,18,347,67,24,<= 10,64,-,<= 10,-,225,<= 10,<= 10,<= 10,13,-,-,-,43,<= 10,25,0 - 10 %,40 - 50 %,20%,-,0 - 10 %,-,19%,40 - 50 %
07/01/2010 - 06/30/2011,2011,REGION 2,MILFORD,DERBY,127,30,328,58,37,15,59,-,<= 10,-,190,11,<= 10,11,<= 10,-,<= 10,-,31,-,44,0 - 10 %,73%,10 - 20 %,-,30 - 40 %,-,16%,-
07/01/2010 - 06/30/2011,2011,REGION 2,MILFORD,ANSONIA,257,64,728,137,72,24,174,-,23,-,403,11,<= 10,18,26,-,<= 10,-,76,<= 10,88,0 - 10 %,75%,15%,-,20 - 30 %,-,19%,20 - 30 %
07/01/2010 - 06/30/2011,2011,REGION 2,MILFORD,BRANFORD,124,27,326,49,35,<= 10,84,-,<= 10,-,171,<= 10,<= 10,<= 10,12,-,-,-,25,-,38,0 - 10 %,60 - 70 %,14%,-,0 - 10 %,-,15%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 2,MILFORD,MILFORD,263,64,720,153,81,33,175,-,18,-,374,14,<= 10,18,38,-,<= 10,-,78,<= 10,90,0 - 10 %,55%,22%,-,10 - 20 %,-,21%,20 - 30 %
07/01/2010 - 06/30/2011,2011,REGION 2,MILFORD,SEYMOUR,110,19,297,46,29,12,63,-,<= 10,-,167,<= 10,-,<= 10,11,-,<= 10,-,25,-,26,-,50 - 60 %,17%,-,20 - 30 %,-,15%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 2,MILFORD,SHELTON,191,56,544,114,60,24,108,-,<= 10,-,307,23,<= 10,19,16,-,<= 10,-,61,<= 10,72,10 - 20 %,79%,15%,-,10 - 20 %,-,20%,30 - 40 %
07/01/2010 - 06/30/2011,2011,REGION 3,MIDDLETOWN,MIDDLETOWN,437,102,1163,293,114,26,247,-,24,-,696,19,<= 10,<= 10,41,-,<= 10,-,218,<= 10,152,0 - 10 %,30 - 40 %,17%,-,20 - 30 %,-,31%,20 - 30 %
07/01/2010 - 06/30/2011,2011,REGION 3,NORWICH,NEW LONDON,490,112,1353,383,154,46,294,-,23,-,756,38,12,25,94,-,<= 10,-,227,11,175,8%,54%,32%,-,10 - 20 %,-,30%,29%
07/01/2010 - 06/30/2011,2011,REGION 3,WILLIMANTIC,BROOKLYN,99,30,265,76,38,<= 10,49,-,11,-,151,11,<= 10,-,19,-,-,-,48,<= 10,39,10 - 20 %,0 - 10 %,39%,-,-,-,32%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 3,MIDDLETOWN,CLINTON,88,18,192,48,22,<= 10,39,-,<= 10,-,109,<= 10,<= 10,-,<= 10,-,-,-,33,-,24,10 - 20 %,0 - 10 %,20 - 30 %,-,0 - 10 %,-,30%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 3,WILLIMANTIC,COVENTRY,85,18,224,61,21,-,76,-,<= 10,-,116,<= 10,<= 10,-,37,-,<= 10,-,20,<= 10,29,0 - 10 %,-,49%,-,30 - 40 %,-,17%,10 - 20 %
07/01/2012 - 06/30/2013,2013,REGION 5,WATERBURY,WATERBURY,1591,201,4380,819,469,118,755,-,116,-,2687,110,27,18,159,-,15,-,573,19,296,6%,15%,21%,-,13%,-,21%,17%
07/01/2010 - 06/30/2011,2011,REGION 3,MIDDLETOWN,CROMWELL,59,11,141,21,24,<= 10,27,-,<= 10,-,71,<= 10,<= 10,-,<= 10,-,-,-,12,<= 10,14,0 - 10 %,0 - 10 %,10 - 20 %,-,0 - 10 %,-,17%,30 - 40 %
07/01/2010 - 06/30/2011,2011,REGION 3,WILLIMANTIC,ASHFORD,46,<= 10,199,77,<= 10,-,61,-,<= 10,-,118,<= 10,-,-,36,-,-,-,39,<= 10,16,0 - 10 %,-,59%,-,0 - 10 %,-,33%,40 - 50 %
07/01/2010 - 06/30/2011,2011,REGION 3,WILLIMANTIC,CANTERBURY,37,16,114,46,<= 10,<= 10,35,-,<= 10,-,50,<= 10,-,<= 10,18,-,<= 10,-,22,<= 10,19,0 - 10 %,30 - 40 %,51%,-,30 - 40 %,-,44%,40 - 50 %
07/01/2012 - 06/30/2013,2013,REGION 1,BRIDGEPORT,BRIDGEPORT,1890,330,4720,798,482,186,743,-,137,-,2828,165,36,30,103,-,31,-,504,50,481,7%,16%,14%,-,23%,-,18%,30%
07/01/2010 - 06/30/2011,2011,REGION 3,NORWICH,GRISWOLD,93,20,348,110,25,<= 10,43,-,14,-,226,19,<= 10,<= 10,16,-,<= 10,-,67,15,37,10 - 20 %,90 - 100 %,76%,-,40 - 50 %,-,63%,100%
07/01/2010 - 06/30/2011,2011,REGION 3,MIDDLETOWN,GUILFORD,70,13,183,47,23,<= 10,34,-,<= 10,-,104,<= 10,<= 10,<= 10,13,-,-,-,27,<= 10,20,0 - 10 %,70 - 80 %,38%,-,0 - 10 %,-,26%,40 - 50 %
07/01/2010 - 06/30/2011,2011,REGION 4,HARTFORD,WINDSOR,205,39,506,77,58,<= 10,100,-,17,-,304,<= 10,<= 10,<= 10,17,-,<= 10,-,45,<= 10,44,10 - 20 %,30 - 40 %,17%,-,10 - 20 %,-,15%,30 - 40 %
07/01/2010 - 06/30/2011,2011,REGION 4,MANCHESTER,WINDSOR LOCKS,129,18,309,52,50,<= 10,80,-,<= 10,-,152,<= 10,<= 10,<= 10,<= 10,-,-,-,33,<= 10,22,0 - 10 %,40 - 50 %,10 - 20 %,-,0 - 10 %,-,22%,30 - 40 %
07/01/2010 - 06/30/2011,2011,REGION 4,MANCHESTER,TOLLAND,50,13,197,64,15,<= 10,51,-,<= 10,-,110,<= 10,<= 10,<= 10,16,-,-,-,42,<= 10,19,0 - 10 %,20 - 30 %,31%,-,0 - 10 %,-,38%,70 - 80 %
07/01/2010 - 06/30/2011,2011,REGION 4,HARTFORD,HARTFORD,2665,592,7230,1603,860,220,1377,-,186,-,4185,177,65,98,273,-,55,-,1011,56,863,8%,45%,20%,-,30%,-,24%,32%
07/01/2010 - 06/30/2011,2011,REGION 4,MANCHESTER,ENFIELD,366,76,1181,300,121,15,225,-,22,-,730,36,<= 10,<= 10,34,-,<= 10,-,233,<= 10,107,0 - 10 %,30 - 40 %,15%,-,10 - 20 %,-,32%,20 - 30 %
07/01/2010 - 06/30/2011,2011,REGION 4,MANCHESTER,EAST HARTFORD,698,188,2458,873,218,63,491,-,47,-,1465,94,22,24,169,-,12,-,594,41,282,10%,38%,34%,-,26%,-,41%,44%
07/01/2010 - 06/30/2011,2011,REGION 4,HARTFORD,BLOOMFIELD,134,27,306,69,44,12,51,-,<= 10,-,150,11,<= 10,<= 10,13,-,-,-,40,<= 10,38,0 - 10 %,60 - 70 %,25%,-,0 - 10 %,-,27%,30 - 40 %
07/01/2010 - 06/30/2011,2011,REGION 4,MANCHESTER,SOUTH WINDSOR,88,19,270,69,25,<= 10,58,-,<= 10,-,154,<= 10,<= 10,<= 10,23,-,-,-,31,-,31,0 - 10 %,90 - 100 %,40%,-,0 - 10 %,-,20%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 5,WATERBURY,SOUTHBURY,53,11,140,25,14,-,44,-,<= 10,-,75,<= 10,<= 10,-,<= 10,-,-,-,15,<= 10,13,0 - 10 %,-,10 - 20 %,-,0 - 10 %,-,20%,40 - 50 %
07/01/2010 - 06/30/2011,2011,REGION 5,DANBURY,RIDGEFIELD,55,12,136,24,12,-,42,-,-,-,72,<= 10,<= 10,-,<= 10,-,-,-,13,<= 10,17,0 - 10 %,-,10 - 20 %,-,-,-,18%,30 - 40 %
07/01/2010 - 06/30/2011,2011,REGION 5,WATERBURY,OXFORD,40,<= 10,113,32,12,<= 10,17,-,<= 10,-,63,<= 10,-,<= 10,<= 10,-,<= 10,-,19,<= 10,11,-,90 - 100 %,20 - 30 %,-,90 - 100 %,-,30%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 5,WATERBURY,NAUGATUCK,344,42,935,166,80,11,226,-,13,-,528,37,<= 10,<= 10,70,-,-,-,84,<= 10,62,0 - 10 %,40 - 50 %,31%,-,-,-,16%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 5,DANBURY,NEW FAIRFIELD,48,11,159,43,<= 10,11,37,-,-,-,92,<= 10,-,<= 10,12,-,-,-,22,-,22,0 - 10 %,70 - 80 %,32%,-,-,-,24%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 5,DANBURY,BETHEL,85,15,211,37,42,<= 10,30,-,<= 10,-,110,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,17,<= 10,20,0 - 10 %,30 - 40 %,20 - 30 %,-,80 - 90 %,-,15%,40 - 50 %
07/01/2010 - 06/30/2011,2011,REGION 5,DANBURY,DANBURY,616,138,1480,305,203,39,293,-,29,-,824,52,18,14,61,-,<= 10,-,182,13,194,9%,36%,21%,-,20 - 30 %,-,22%,25%
07/01/2010 - 06/30/2011,2011,REGION 5,DANBURY,BROOKFIELD,67,11,150,23,27,<= 10,38,-,<= 10,-,70,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,<= 10,<= 10,13,0 - 10 %,90 - 100 %,10 - 20 %,-,10 - 20 %,-,10 - 20 %,20 - 30 %
07/01/2010 - 06/30/2011,2011,REGION 5,WATERBURY,CHESHIRE,66,<= 10,172,44,21,<= 10,44,-,<= 10,-,83,<= 10,-,-,17,-,-,-,25,-,11,-,0 - 10 %,39%,-,0 - 10 %,-,30%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 5,TORRINGTON,TORRINGTON,472,150,1373,406,102,24,319,-,32,-,817,46,<= 10,<= 10,89,-,11,-,276,<= 10,208,0 - 10 %,40 - 50 %,28%,-,34%,-,34%,10 - 20 %
07/01/2010 - 06/30/2011,2011,REGION 5,WATERBURY,WATERBURY,1758,281,4921,1071,545,180,923,-,89,-,2913,157,39,55,241,-,20,-,658,41,401,7%,31%,26%,-,22%,-,23%,26%
07/01/2010 - 06/30/2011,2011,REGION 5,TORRINGTON,WATERTOWN,109,25,270,66,42,<= 10,45,-,<= 10,-,143,<= 10,<= 10,<= 10,14,-,<= 10,-,36,<= 10,33,0 - 10 %,90 - 100 %,60%,-,60 - 70 %,-,50%,60 - 70 %
07/01/2010 - 06/30/2011,2011,REGION 5,WATERBURY,WOLCOTT,91,12,228,56,32,<= 10,38,-,<= 10,-,136,<= 10,-,-,<= 10,-,-,-,41,<= 10,16,-,0 - 10 %,20 - 30 %,-,0 - 10 %,-,30%,30 - 40 %
07/01/2010 - 06/30/2011,2011,REGION 5,WATERBURY,WOODBURY,29,13,107,28,<= 10,-,40,-,<= 10,-,55,-,-,-,12,-,<= 10,-,14,-,18,0 - 10 %,-,30%,-,90 - 100 %,-,25%,-
07/01/2010 - 06/30/2011,2011,REGION 6,NEW BRITAIN,WETHERSFIELD,111,28,276,77,33,<= 10,67,-,<= 10,-,145,11,<= 10,-,19,-,<= 10,-,51,<= 10,41,0 - 10 %,0 - 10 %,28%,-,20 - 30 %,-,35%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 6,NEW BRITAIN,FARMINGTON,115,28,271,60,50,<= 10,67,-,<= 10,-,134,<= 10,<= 10,-,16,-,-,-,36,<= 10,37,10 - 20 %,0 - 10 %,64%,-,0 - 10 %,-,57%,40 - 50 %
07/01/2010 - 06/30/2011,2011,REGION 6,NEW BRITAIN,BURLINGTON,37,<= 10,109,38,<= 10,<= 10,34,-,<= 10,-,55,<= 10,<= 10,-,18,-,-,-,17,-,12,0 - 10 %,0 - 10 %,53%,-,0 - 10 %,-,31%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 6,NEW BRITAIN,AVON,46,13,98,27,18,<= 10,20,-,<= 10,-,48,<= 10,-,<= 10,<= 10,-,-,-,16,-,17,-,90 - 100 %,30 - 40 %,-,0 - 10 %,-,33%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 6,NEW BRITAIN,NEWINGTON,144,31,319,66,45,11,80,-,<= 10,-,158,12,-,<= 10,29,-,-,-,32,<= 10,41,-,0 - 10 %,36%,-,0 - 10 %,-,20%,10 - 20 %
07/01/2010 - 06/30/2011,2011,REGION 6,NEW BRITAIN,NEW BRITAIN,1204,309,3207,667,418,75,654,-,70,-,1802,89,31,45,125,-,30,-,383,23,418,7%,60%,19%,-,43%,-,21%,26%
07/01/2010 - 06/30/2011,2011,REGION 6,MERIDEN,MERIDEN,907,241,2554,609,278,75,557,-,69,-,1452,51,27,51,125,-,24,-,359,11,352,10%,68%,22%,-,35%,-,25%,22%
07/01/2010 - 06/30/2011,2011,REGION 6,NEW BRITAIN,ROCKY HILL,78,21,189,47,27,-,38,-,<= 10,-,95,13,<= 10,-,12,-,<= 10,-,22,<= 10,30,0 - 10 %,-,32%,-,30 - 40 %,-,23%,60 - 70 %
07/01/2010 - 06/30/2011,2011,REGION 6,NEW BRITAIN,PLAINVILLE,123,34,286,71,35,12,55,-,11,-,152,<= 10,<= 10,<= 10,15,-,<= 10,-,34,<= 10,45,10 - 20 %,40 - 50 %,27%,-,30 - 40 %,-,22%,0 - 10 %
07/01/2011 - 06/30/2012,2012,ALL,NULL,Statewide,28721,5524,75282,15401,8347,1842,13052,-,1684,-,45677,2249,588,563,3128,-,269,-,9932,569,8027,7%,31%,24%,-,16%,-,22%,25%
07/01/2011 - 06/30/2012,2012,REGION 1,NORWALK,NORWALK,546,100,1320,216,167,29,246,-,43,-,765,31,<= 10,<= 10,49,-,<= 10,-,127,<= 10,149,0 - 10 %,10 - 20 %,20%,-,0 - 10 %,-,17%,30 - 40 %
07/01/2011 - 06/30/2012,2012,REGION 1,BRIDGEPORT,STRATFORD,355,73,872,183,119,24,160,-,22,-,499,26,11,<= 10,40,-,<= 10,-,119,<= 10,102,9%,0 - 10 %,25%,-,10 - 20 %,-,24%,20 - 30 %
07/01/2011 - 06/30/2012,2012,REGION 1,BRIDGEPORT,TRUMBULL,109,20,276,50,34,<= 10,55,-,11,-,147,15,<= 10,-,<= 10,-,<= 10,-,38,<= 10,26,0 - 10 %,0 - 10 %,10 - 20 %,-,10 - 20 %,-,26%,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 1,BRIDGEPORT,BRIDGEPORT,1959,450,4956,1109,672,145,798,-,149,-,2872,147,46,46,195,-,43,-,715,39,647,7%,32%,24%,-,29%,-,25%,27%
07/01/2011 - 06/30/2012,2012,REGION 1,BRIDGEPORT,EASTON,16,<= 10,52,28,<= 10,-,12,-,-,-,35,-,-,-,<= 10,-,-,-,20,-,12,0 - 10 %,-,60 - 70 %,-,-,-,57%,-
07/01/2011 - 06/30/2012,2012,REGION 1,BRIDGEPORT,MONROE,43,11,131,39,12,-,28,-,<= 10,-,82,<= 10,<= 10,-,<= 10,-,-,-,28,<= 10,19,0 - 10 %,-,20 - 30 %,-,0 - 10 %,-,34%,40 - 50 %
07/01/2011 - 06/30/2012,2012,REGION 1,NORWALK,WESTPORT,79,11,180,22,19,<= 10,37,-,<= 10,-,93,<= 10,<= 10,<= 10,<= 10,-,-,-,<= 10,<= 10,11,10 - 20 %,20 - 30 %,0 - 10 %,-,0 - 10 %,-,10 - 20 %,10 - 20 %
07/01/2011 - 06/30/2012,2012,REGION 2,MILFORD,WEST HAVEN,567,129,1476,296,132,37,251,-,22,-,943,43,<= 10,13,55,-,<= 10,-,200,<= 10,179,0 - 10 %,35%,22%,-,10 - 20 %,-,21%,20 - 30 %
07/01/2011 - 06/30/2012,2012,REGION 2,MILFORD,HAMDEN,297,46,715,113,116,30,97,-,15,-,412,30,<= 10,<= 10,18,-,<= 10,-,75,<= 10,73,0 - 10 %,20 - 30 %,19%,-,10 - 20 %,-,18%,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 2,MILFORD,BRANFORD,151,28,423,52,42,<= 10,82,-,-,-,265,13,<= 10,<= 10,<= 10,-,-,-,39,-,35,0 - 10 %,30 - 40 %,0 - 10 %,-,-,-,15%,-
07/01/2011 - 06/30/2012,2012,REGION 2,MILFORD,ANSONIA,294,68,752,141,60,45,149,-,18,-,441,19,<= 10,14,31,-,<= 10,-,77,<= 10,83,0 - 10 %,31%,21%,-,10 - 20 %,-,17%,20 - 30 %
07/01/2011 - 06/30/2012,2012,REGION 2,MILFORD,DERBY,136,32,346,59,30,13,76,-,12,-,195,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,38,<= 10,41,0 - 10 %,30 - 40 %,10 - 20 %,-,0 - 10 %,-,19%,10 - 20 %
07/01/2011 - 06/30/2012,2012,REGION 2,MILFORD,EAST HAVEN,217,47,562,109,53,15,104,-,12,-,336,15,<= 10,<= 10,18,-,<= 10,-,60,<= 10,65,10 - 20 %,50 - 60 %,17%,-,30 - 40 %,-,18%,30 - 40 %
07/01/2011 - 06/30/2012,2012,REGION 2,MILFORD,SEYMOUR,83,25,249,56,22,<= 10,54,-,<= 10,-,151,<= 10,<= 10,-,<= 10,-,<= 10,-,46,<= 10,42,0 - 10 %,0 - 10 %,0 - 10 %,-,60 - 70 %,-,30%,20 - 30 %
07/01/2011 - 06/30/2012,2012,REGION 2,MILFORD,MILFORD,287,53,705,109,91,28,106,-,15,-,423,17,<= 10,<= 10,16,-,<= 10,-,69,<= 10,66,0 - 10 %,30 - 40 %,15%,-,10 - 20 %,-,16%,20 - 30 %
07/01/2011 - 06/30/2012,2012,REGION 3,MIDDLETOWN,MIDDLETOWN,469,73,1147,171,150,21,167,-,28,-,695,36,11,<= 10,26,-,<= 10,-,113,<= 10,101,7%,0 - 10 %,16%,-,0 - 10 %,-,16%,10 - 20 %
